Player,Salary(2021-2022),Salary(2022-2023),Salary(2023-2024)
Mike Muscala,3500000,3500000,4308297
Monte Morris,8449074,9125000,9800926
Moses Moody,3562200,3740160,3918480
Myles Turner,18000000,35096500,20975000
Nickeil Alexander-Walker,3261480,5009633,4687500
Nicolas Batum,12026998,19700319,11710818
Nikola Jokic,31044906,33047803,47607350
Nikola Vucevic,24000000,22000000,18518519
Norman Powell,15517242,16758621,18000000
Obi Toppin,5105160,5348280,6803012
OG Anunoby,16071429,17357143,18642857
Onyeka Okongwu,6104280,6395160,8109063
Pascal Siakam,33003936,35448672,37893408
Pat Connaughton,5333334,5728393,9423869
Patrick Mills,5890000,6479000,7537766
Patrick Williams,7422000,7775400,9835881
Paul George,39344970,42492492,45640084
PJ Tucker,7000000,10490000,11014500
PJ Washington,4215120,5808435,16847826
Reggie Bullock,9536000,10012800,14210528
Reggie Jackson,10384500,11457217,5000000
Richaun Holmes,10384500,11215260,12046020
Ricky Rubio,17800000,5853659,3722327
RJ Barrett,8623920,10900634,23883929
Robert Covington,12975471,12307692,11692308
Robert Williams,3661976,10714287,11571429
Royce O'Neale,8800000,9200000,9500000
Rudy Gay,5890000,6184500,6479000
Rudy Gobert,35344828,38172414,41000000
Rui Hachimura,4916160,6263188,15740741
Russell Westbrook,44211146,47080179,3835738
Saddiq Bey,2824320,2959080,4556983
Scottie Barnes,7280400,7644600,8008680
Seth Curry,8207518,8496653,4000000
Shai Gilgeous-Alexander,5495532,30913750,33386850
Spencer Dinwiddie,19314284,19500000,20411797
Stephen Curry,45780966,48070014,51915615
Steven Adams,17073171,17926829,12600000
Talen Horton-Tucker,9500000,10260000,11020000
Taurean Prince,13334375,7100000,4516000
Terry Rozier,17905263,21486316,23205221
Thaddeus Young,14190000,8000000,9010371
Tim Hardaway Jr,21306816,19602273,17897728
TJ McConnell,7500000,8100000,8700000
Tobias Harris,35995950,37633050,39270150
Trae Young,8326471,37096500,40064220
Trey Murphy,3053760,3206520,3359280
Tyler Herro,4004280,5722116,27000000
Tyrese Haliburton,4023600,4215120,5808435
Tyus Jones,8376286,15000000,14000000
Wendell Carter,6920027,14150000,13050000
Zach Collins,7000000,7350000,7700000
Zach LaVine,19500000,37096500,40064220
Ziaire Williams,4373040,4591680,4810200
Zion Williamson,10733400,13534817,34005250
